cluster_id,mean_FLA,mean_flowrate,mean_condensing_delta_t,mean_chilled_delta_t,predicted_initial_small_delta_t,predicted_initial_power,cluster_size
1,41.166666666666664,185.73495833333337,2.9583333333333335,5.6499999999999995,0.9494950059183784,584.6446993947105,12
2,47.5,177.79385000000002,2.808333333333334,5.819444444444445,0.9873217538549692,697.7824308238313,36
3,37.05263157894737,176.94322631578947,2.589473684210526,5.163157894736842,0.9263428106139533,518.6174572097327,19
4,42.36363636363637,171.9276,2.618181818181818,5.654545454545455,0.992942963828425,592.5695093887183,11
5,53.23529411764706,240.48201176470587,3.1352941176470592,5.229411764705882,1.1861370625579775,805.6170644780206,17
6,61.37931034482759,247.5135551724138,2.986206896551724,5.068965517241379,1.334259035328331,948.7414860319076,29
7,48.857142857142854,236.45832857142858,3.085714285714286,5.528571428571428,1.062419325759234,746.6817393484579,7
8,45.5,223.32176249999998,3.225,5.2625,1.0397953114032779,657.2254133371986,8
9,59.61538461538461,226.4868230769231,2.93076923076923,5.576923076923078,1.283904404646346,934.4282464546033,13
10,52.38095238095238,227.4305523809524,3.3190476190476192,5.442857142857142,1.119415400592578,780.0086564417428,21
11,57.111111111111114,221.77854444444444,3.261111111111112,5.494444444444444,1.1594164860802876,879.81455153064,18
14,58.72727272727273,220.5387212121212,2.509090909090909,5.066666666666667,1.2081430924513439,911.2802715904736,33
15,52.2,232.56557999999998,2.713333333333333,4.6033333333333335,1.1408856465199353,793.5066448813468,30
17,50.70967741935484,229.8648419354839,2.9645161290322584,4.854838709677419,1.0770716989639781,782.0523323406276,31
19,44.13636363636363,229.6611909090909,3.2590909090909093,5.013636363636364,0.9969379373694857,640.9253252280145,22
20,45.5,236.7824,3.124999999999999,5.165000000000001,1.0469227627859694,660.7824747418067,20
21,41.25,199.0933583333333,2.8333333333333326,5.125000000000001,0.9661542926696096,582.1151724155765,12
23,44.63636363636363,206.96548181818181,3.3363636363636364,5.536363636363637,1.036489871954382,645.0259075547842,11
