start_date,current_date,running_hour,valve_value,HX1_lmtd_cumulative_change,HX1_primary_dp_cumulative_change,HX1_return_dt_cumulative_change,HX1_secondary_dp_cumulative_change,HX1_supply_dt_cumulative_change
2023-06-01 14:28:00,2025-09-26 18:06:00,,,,,,,
,,3627.9822222222224,71.20949,0.0,-0.0,0.0,-0.0,0.0
,,3628.032222222222,71.26736,2.636920002453531e-07,8.69518374640806e-07,9.896764432983418e-08,2.160100959797454e-06,3.8435499152447007e-07
,,3628.0822222222223,70.978005,5.273840004931045e-07,1.73903674928952e-06,1.9793528866056846e-07,4.320201919614554e-06,7.687099830524358e-07
,,3628.132222222222,70.775465,7.910760007384576e-07,2.608555123930326e-06,2.969029329904026e-07,6.480302879412008e-06,1.153064974576906e-06
,,3628.182222222222,70.3125,1.054768000986209e-06,3.47807349857904e-06,3.9587057732113686e-07,8.640403839229108e-06,1.5374199661048717e-06
,,3628.2322222222224,69.907405,1.221009625106012e-06,3.987543054680672e-06,5.551346940860655e-07,1.0294589376807619e-05,1.6756134354134694e-06
,,3628.282222222222,69.53125,1.3872512492243031e-06,4.497012610777671e-06,7.143988108495457e-07,1.1948774914371086e-05,1.8138069047208104e-06
,,3628.3322222222223,68.67766,1.5534928733441062e-06,5.006482166879303e-06,8.736629276144743e-07,1.3602960451949597e-05,1.952000374029408e-06
,,3628.382222222222,68.14236500000001,1.7197344974623973e-06,5.515951722976302e-06,1.0329270443779545e-06,1.5257145989513064e-05,2.090193843336749e-06
,,3628.4155555555553,68.04108500000001,1.8305622468750953e-06,5.855598093709179e-06,1.1391031222207575e-06,1.6359936347893722e-05,2.1823228228753953e-06
,,3628.4655555555555,67.042825,1.9968038709948986e-06,6.365067649810811e-06,1.2983672389856862e-06,1.8014121885472232e-05,2.320516292183993e-06
,,3628.5155555555557,66.478585,2.1630454951147017e-06,6.8745372059124435e-06,1.457631355750615e-06,1.9668307423050743e-05,2.458709761492591e-06
,,3628.5655555555554,66.39178000000001,2.3292871192329928e-06,7.384006762009442e-06,1.616895472514095e-06,2.132249296061421e-05,2.596903230799932e-06
