start_date,current_date,running_hour,valve_value,HX1_lmtd_cumulative_change,HX1_primary_dp_cumulative_change,HX1_return_dt_cumulative_change,HX1_secondary_dp_cumulative_change,HX1_supply_dt_cumulative_change
2023-09-12 11:51:00,2025-09-28 22:06:00,,,,,,,
,,6097.365555555555,72.83950666666668,0.0,-0.0,0.0,-0.0,0.0
,,6097.4655555555555,70.40895,1.9085840108144167e-06,2.032430470742776e-06,2.729768577078077e-06,-6.956297514055017e-07,1.2428568674263673e-06
,,6097.515555555556,70.42824,2.862876016221625e-06,3.048645706114164e-06,4.0946528656171156e-06,-1.0434446271082525e-06,1.8642853011395508e-06
,,6097.565555555556,75.21219333333335,3.8171680216288334e-06,4.064860941485552e-06,5.459537154156154e-06,-1.3912595028110033e-06,2.4857137348527346e-06
,,6097.665555555555,74.16088,5.725752032425892e-06,6.097291412209843e-06,8.189305731209403e-06,-2.086889254210178e-06,3.728570602267798e-06
,,6097.7155555555555,74.33449,6.680044037833101e-06,7.1135066475812304e-06,9.554190019748441e-06,-2.434704129912929e-06,4.349999035980982e-06
,,6097.765555555556,73.11921333333333,7.63433604324031e-06,8.129721882952618e-06,1.091907430828748e-05,-2.7825190056156797e-06,4.9714274696941655e-06
,,6097.815555555556,62.056326666666656,8.582851590221861e-06,8.484039069630507e-06,1.2364072579727795e-05,-8.57671076924617e-06,5.541922696238538e-06
,,6097.915555555555,62.046683333333334,1.0479882684167712e-05,9.192673442979838e-06,1.5254069122582143e-05,-2.0165094296401756e-05,6.682913149316904e-06
,,6097.9655555555555,60.493826666666656,1.1428398231149264e-05,9.546990629657726e-06,1.6699067394022458e-05,-2.5959286060032246e-05,7.253408375861276e-06
,,6098.9655555555555,59.95370333333333,3.4058025474970276e-05,2.0457924455662274e-05,5.401904976510782e-05,-0.00017578106863401182,1.759635614066413e-05
,,6099.065555555556,58.74807333333333,3.632098819936061e-05,2.1549017838266698e-05,5.7751048002229934e-05,-0.0001907632468914643,1.8630650917148177e-05
,,6099.415555555555,59.44251333333333,4.4241357734685616e-05,2.5367844677362336e-05,7.081304183208944e-05,-0.0002432008707922754,2.225068263482353e-05
,,6099.515555555556,57.54244,4.650432045907595e-05,2.645893805996676e-05,7.454504006921155e-05,-0.00025818304904972787,2.328497741130758e-05
,,6099.565555555556,55.97994,4.7635801821271116e-05,2.7004484751268973e-05,7.641103918777261e-05,-0.0002656741381784541,2.3802124799549604e-05
,,6099.665555555555,54.60069333333333,4.989876454564087e-05,2.8095578133863473e-05,8.014303742486079e-05,-0.00028065631643577033,2.4836419576024244e-05
,,6099.7155555555555,54.76466,5.1030245907836036e-05,2.8641124825165685e-05,8.200903654342185e-05,-0.0002881474055644966,2.535356696426627e-05
,,6099.765555555556,56.65509333333333,5.21617272700312e-05,2.9186671516467898e-05,8.387503566198291e-05,-0.00029563849469322283,2.5870714352508293e-05
,,6099.865555555555,56.491126666666666,5.4424689994400957e-05,3.0277764899062398e-05,8.760703389907108e-05,-0.00031062067295053905,2.6905009128982933e-05
,,6099.915555555555,55.12153,5.555617135659612e-05,3.082331159036461e-05,8.947303301763214e-05,-0.0003181117620792653,2.7422156517224958e-05
,,6100.015555555556,57.71605333333334,5.7819134080986456e-05,3.191440497296903e-05,9.320503125475425e-05,-0.00033309394033671774,2.8456451293709007e-05
,,6100.065555555556,56.96373333333333,5.895061544318162e-05,3.245995166427124e-05,9.507103037331531e-05,-0.000340585029465444,2.897359868195103e-05
,,6100.165555555555,54.61034,6.121357816755138e-05,3.3551045046865744e-05,9.880302861040348e-05,-0.0003555672077227602,3.000789345842567e-05
,,6100.2155555555555,56.32716,6.234505952974654e-05,3.409659173816795e-05,0.00010066902772896455,-0.00036305829685148646,3.052504084666769e-05
